air_temperature_2m,black_sky_albedo,black_sky_albedo_avhrr,cee,cer,cfc,cot,cph,cth,ctp,ctt,fapar_tip,gross_primary_productivity,iwp,latent_energy,leaf_area_index,lwp,max_air_temperature_2m,min_air_temperature_2m,net_ecosystem_exchange,net_radiation,par,precipitation,precipitation_era5,sensible_heat,stemp,terrestrial_ecosystem_respiration,white_sky_albedo,white_sky_albedo_avhrr,time
294.7707,0.047899824,0.21849705,0.73872656,15.306922,0.8684116,4.473591,0.4453223,7.228978,468.65237,259.34415,0.10637916,6.0952654,56.27401,10.121097,0.2788426,38.019386,300.26196,290.94147,-1.1395178,13.548733,96.23428,3.2247572,0.3043508,2.4718254,296.27014,4.451503,0.05952156,0.2328355,2002-06-14
295.31027,0.047365308,0.20667069,0.73872656,15.306922,0.8684116,4.473591,0.4453223,7.228978,468.65237,259.34415,0.10698087,6.1171546,56.27401,10.378273,0.32352135,38.019386,299.9213,291.64258,-1.2773333,13.819728,108.81333,0.768286,0.25069413,2.571692,296.27014,4.335494,0.058442015,0.21805593,2002-06-22
295.7736,0.05025052,0.17282492,0.7382043,15.165726,0.83878523,4.522802,0.45116556,7.3130603,466.5998,258.594,0.093419135,5.8225718,51.83881,9.586572,0.28555772,37.358986,300.80832,291.7568,-1.0350167,12.942041,97.735,1.0037613,0.1855497,2.409377,296.66083,4.315005,0.06177006,0.18121286,2002-06-30
295.40417,0.053472552,0.1627696,0.7373339,14.930399,0.789408,4.6048203,0.4609043,7.453197,463.1788,257.34372,0.084674604,6.2281394,44.44683,9.973405,0.24651867,36.25832,300.6626,290.95493,-1.1539614,13.555844,107.82667,6.3600965,0.2595233,2.602009,297.31198,4.48171,0.06472326,0.1697952,2002-07-08
295.1306,0.054067012,0.15530299,0.7373339,14.930399,0.789408,4.6048203,0.4609043,7.453197,463.1788,257.34372,0.120639786,5.7442117,44.44683,10.166289,0.26980606,36.25832,301.13806,291.9395,-1.0564733,13.587112,103.28,0.8578196,0.2536703,2.4804971,297.31198,4.168305,0.0655942,0.16110192,2002-07-16
294.68393,0.05247769,0.15203549,0.7373339,14.930399,0.789408,4.6048203,0.4609043,7.453197,463.1788,257.34372,0.15007451,5.8144794,44.44683,9.915727,0.2965348,36.25832,300.2014,290.80664,-1.0567249,13.46506,106.013336,0.53465873,0.34065554,2.6577246,297.31198,4.2441173,0.06394088,0.1569683,2002-07-24
294.89438,0.05146549,0.15293595,0.74189675,16.156528,0.7776223,4.08484,0.43587154,7.7264314,449.34708,255.36664,0.1654957,5.668759,43.370346,10.442215,0.31184486,32.05166,300.64618,290.17282,-0.99361706,14.022,109.07429,1.2205052,0.13623253,2.6942334,296.97058,4.1614547,0.064523004,0.15899268,2002-08-01
295.10236,0.05221933,0.15691535,0.7464596,17.382654,0.76583654,3.5648606,0.41083887,7.999665,435.5154,253.38956,0.14954057,5.826121,42.29386,10.119986,0.29559013,27.845007,301.20984,291.11438,-1.0588671,13.847259,111.34,1.566718,0.13627712,2.7960978,296.6292,4.272437,0.06586723,0.16431798,2002-08-09
295.78214,0.05226281,0.16573118,0.7464596,17.382654,0.76583654,3.5648606,0.41083887,7.999665,435.5154,253.38956,0.11524477,5.5233393,42.29386,9.979237,0.15454093,27.845007,301.52792,292.00037,-0.78414863,13.825731,108.57,0.38080782,0.16069874,2.8570833,296.6292,4.269798,0.06572939,0.17458569,2002-08-17
295.5145,0.052784,0.18286389,0.7464596,17.382654,0.76583654,3.5648606,0.41083887,7.999665,435.5154,253.38956,0.08054353,5.847617,42.29386,10.223812,0.106363505,27.845007,300.95798,291.6637,-1.1001127,14.248284,112.44666,2.9532785,0.20225938,3.225829,296.6292,4.2797613,0.0627388,0.19328153,2002-08-25
